zone_id,arrondissement_name,population_2024,prefecture,note
1,Ain Chock,374000,Ain Chock,HCP RGPH 2024 portal (screenshot)
2,Sidi Othmane,211000,Ben Msick / Moulay Rachid,HCP RGPH 2024 portal (screenshot)
3,Sidi Moumen,551000,Sidi Bernoussi,HCP RGPH 2024 portal (screenshot) - combined with Moulay Rachid area
4,Hay Hassani,536000,Hay Hassani,HCP RGPH 2024 portal (screenshot)
5,Sbata,101000,Ben Msick,HCP RGPH 2024 portal (screenshot)
6,Ben Msik,105000,Ben Msick,HCP RGPH 2024 portal (screenshot)
7,Moulay Rachid,244000,Moulay Rachid,HCP RGPH 2024 portal (screenshot)
8,Maarif,139000,Casablanca-Anfa,HCP RGPH 2024 portal (screenshot)
9,Al Fida,125000,Al Fida-Mers Sultan,HCP RGPH 2024 portal (screenshot)
10,Mers Sultan,97000,Al Fida-Mers Sultan,HCP RGPH 2024 portal (screenshot)
11,Roches Noires,104000,Ain Sebaa-Hay Mohammadi,"HCP RGPH 2024 - labeled 'Assoukhour Assawda' on portal"
12,Hay Mohammadi,104000,Ain Sebaa-Hay Mohammadi,HCP RGPH 2024 portal (screenshot)
13,Anfa,66000,Casablanca-Anfa,HCP RGPH 2024 portal (screenshot)
14,Sidi Belyout,136000,Casablanca-Anfa,HCP RGPH 2024 portal (screenshot)
15,Ain Sebaa,143000,Ain Sebaa-Hay Mohammadi,HCP RGPH 2024 portal (screenshot)
16,Sidi Bernoussi,153000,Sidi Bernoussi,HCP RGPH 2024 portal (screenshot)
