nyc_zone_id,nyc_tier,casa_zone_id,casa_zone_name,casa_ae_class,weight,rationale
236,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
236,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
237,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
237,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
161,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
161,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
162,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
162,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
230,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
230,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
142,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
142,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
170,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
170,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
132,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
132,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
186,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
186,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
239,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
239,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
141,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
141,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
163,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
163,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
48,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
48,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
234,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
234,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
68,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
68,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
79,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
79,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
238,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
238,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
164,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
164,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
263,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
263,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
140,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
140,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
229,A,2,Sidi Othmane,A,0.7508896797153025,NYC tier-A -> Casa tier-A (pop-share 75.09%)
229,A,14,Sidi Belyout,A,0.2491103202846975,NYC tier-A -> Casa tier-A (pop-share 24.91%)
107,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
107,B,4,Hay Hassani,B,0.3018867924528302,NYC tier-B -> Casa tier-B (pop-share 30.19%)
107,B,8,Maarif,B,0.1949685534591195,NYC tier-B -> Casa tier-B (pop-share 19.50%)
107,B,9,Al Fida,B,0.16981132075471697,NYC tier-B -> Casa tier-B (pop-share 16.98%)
138,B,3,Sidi Moumen,B,0.3333333333333333,NYC tier-B -> Casa tier-B (pop-share 33.33%)
