zone_id,name,centroid_lat,centroid_lon,area_km2,population_2024,pop_density,commerce_count_sum,commerce_weight_sum,opportunity_score_mean,h3_cell_count,poi_diversity,transit_hub_count,ae_score,ae_class,adjacent_zones
1,Ain Chock,33.52657,-7.62155,56.881,374000,6575.1,423,164.3,0.5817518248175183,137,20,8,0.242,C,"2,4,5,6,8,9"
2,Sidi Othmane,33.55833,-7.56133,7.503,211000,28122.1,81,28.8,0.5366666666666667,30,14,14,0.5007,A,"3,5,6,7,9,10,11,12"
3,Sidi Moumen,33.58382,-7.50041,24.4,551000,22582.0,67,24.8,0.4166666666666667,36,13,13,0.3874,B,"2,7,15,16"
4,Hay Hassani,33.54646,-7.68025,58.74,536000,9125.0,595,246.1,0.6646341463414634,164,21,26,0.4167,B,"1,8,13"
5,Sbata,33.53576,-7.55799,10.337,101000,9770.7,78,23.7,0.6,22,10,5,0.0945,E,"1,2,6"
6,Ben Msik,33.55447,-7.5813,4.488,105000,23395.7,63,17.2,0.5523809523809524,21,11,6,0.341,C,"1,2,5,9"
7,Moulay Rachid,33.56927,-7.53666,12.223,244000,19962.4,83,27.599999999999998,0.46315789473684216,38,13,18,0.3667,C,"2,3,12,15"
8,Maarif,33.57043,-7.63251,17.903,139000,7764.1,868,385.6,1.3581632653061224,98,20,22,0.4257,B,"1,4,9,10,13,14"
9,Al Fida,33.56519,-7.5949,5.481,125000,22806.1,94,31.7,0.6692307692307692,26,12,14,0.3863,B,"1,6,8,10,11"
10,Mers Sultan,33.57672,-7.60385,4.64,97000,20905.2,142,58.2,0.996,25,15,7,0.3715,C,"2,8,9,11,14"
11,Roches Noires,33.58556,-7.58307,10.623,104000,9790.1,228,106.0,1.02,40,16,20,0.2751,C,"2,9,10,12,14,15"
12,Hay Mohammadi,33.58352,-7.55965,7.453,104000,13954.1,79,28.3,0.5678571428571428,28,12,15,0.2384,D,"2,7,11,15"
13,Anfa,33.593,-7.66148,14.142,66000,4666.9,238,131.5,0.9450980392156864,51,22,4,0.2015,D,"4,8,14"
14,Sidi Belyout,33.59849,-7.61487,14.778,136000,9202.9,1201,682.7,2.611290322580645,62,26,25,0.6728,A,"8,10,11,13,15"
15,Ain Sebaa,33.60406,-7.5448,22.484,143000,6360.1,200,90.2,0.5256410256410257,78,17,12,0.1856,D,"3,7,11,12,14,16"
16,Sidi Bernoussi,33.61677,-7.49464,26.193,153000,5841.3,164,72.6,0.6680851063829788,47,15,4,0.1075,D,"3,15"
